Year,Team,Conf,Seed,Wins,Losses,Win_percent,RPI,FirstRwin,SecRwin,thrdRwin,frthRwin,fifthRwin,sixthRwin
2018,Virginia,,1,31,2,0.939393939,0.679,0,0,0,0,0,0
2018,UMBC,,16,24,10,0.705882353,0.591333333,1,0,0,0,0,0
2018,Creighton,,8,21,11,0.65625,0.578,0,0,0,0,0,0
2018,Kansas St.,,9,22,11,0.666666667,0.574,1,0,0,0,0,0
2018,Kentucky,,5,24,10,0.705882353,0.622,1,1,0,0,0,0
2018,Davidson,,12,21,11,0.65625,0.578,0,0,0,0,0,0
2018,Arizona,,4,27,7,0.794117647,0.62,0,0,0,0,0,0
2018,Buffalo,,13,26,8,0.764705882,0.6,1,0,0,0,0,0
2018,Miami Fl,,6,22,9,0.709677419,0.597,0,0,0,0,0,0
2018,Loyola,,11,28,5,0.848484848,0.602,1,1,1,1,0,0
2018,Tennessee,,3,25,8,0.757575758,0.629,1,0,0,0,0,0
2018,Wright St,,14,25,9,0.735294118,0.541,0,0,0,0,0,0
2018,Nevada,,7,27,7,0.794117647,0.615,1,1,0,0,0,0
2018,Texas,,10,19,14,0.575757576,0.572,0,0,0,0,0,0
2018,Cincinnati,,2,30,4,0.882352941,0.642,1,0,0,0,0,0
2018,Georgia St,,15,24,10,0.705882353,0.526,0,0,0,0,0,0
2018,Xavier,,1,28,5,0.848484848,0.652,1,0,0,0,0,0
2018,Texas Southern,,16,16,19,0.457142857,0.457,0,0,0,0,0,0
2018,Missouri,,8,20,12,0.625,0.578,0,0,0,0,0,0
2018,Florida St,,9,20,11,0.64516129,0.571,1,1,1,0,0,0
2018,Ohio St,,5,24,8,0.75,0.607,1,0,0,0,0,0
2018,S. Dakota St,,12,28,6,0.823529412,0.583,0,0,0,0,0,0
2018,Gonzaga,,4,30,4,0.882352941,0.605,1,1,0,0,0,0
2018,UNCG,,13,27,7,0.794117647,0.565,0,0,0,0,0,0
2018,Houston,,6,26,7,0.787878788,0.614,1,0,0,0,0,0
2018,San Diego St,,11,22,10,0.6875,0.567,0,0,0,0,0,0
2018,Michigan,,3,28,7,0.8,0.621,1,1,1,1,1,0
2018,Montana,,14,26,7,0.787878788,0.557,0,0,0,0,0,0
2018,Texas A&M,,7,20,12,0.625,0.597,1,1,0,0,0,0
2018,Providence,,10,21,13,0.617647059,0.592,0,0,0,0,0,0
2018,North Carolina,,2,25,10,0.714285714,0.645,1,0,0,0,0,0
2018,Lipscomb,,15,23,9,0.71875,0.537,0,0,0,0,0,0
2018,Villanova,,1,30,4,0.882352941,0.667,1,1,1,1,1,1
2018,Radford,,16,23,12,0.657142857,0.525,0,0,0,0,0,0
2018,Virginia Tech,,8,21,11,0.65625,0.568,0,0,0,0,0,0
2018,Alabama,,9,19,15,0.558823529,0.582,1,0,0,0,0,0
2018,West Virginia,,5,24,10,0.705882353,0.6,1,1,0,0,0,0
2018,murray State,,12,26,5,0.838709677,0.576,0,0,0,0,0,0
2018,Wichta State,,4,25,7,0.78125,0.618,0,0,0,0,0,0
2018,Marshall,,13,24,10,0.705882353,0.554,1,0,0,0,0,0
2018,Florida,,6,20,12,0.625,0.578,1,0,0,0,0,0
2018,St. Boneventrue,,11,26,7,0.787878788,0.603,0,0,0,0,0,0
2018,Texas Tech,,3,24,9,0.727272727,0.602,1,1,1,0,0,0
2018,S.F. Austin,,14,28,6,0.823529412,0.536,0,0,0,0,0,0
2018,Arkansas,,7,23,11,0.676470588,0.596,0,0,0,0,0,0
2018,Butler,,10,20,13,0.606060606,0.581,1,0,0,0,0,0
